Input Sample	Neurons_pos	Neurons_neg	P-value	Pearson Correlation	RMSE
R15325_HCJ72BBXX	0.1215710405356517	0.8784289594643483	0.044444444444444446	0.3662462281548251	0.9553137569195502
R15326_HCJ72BBXX	0.08573490239821935	0.9142650976017807	0.3888888888888889	0.03277380255927602	1.0716413394600945
R15327_HCJGJBBXX	0.17669714911327428	0.8233028508867257	0.1111111111111111	0.2106671803716735	1.000570273438714
R15328_HJV23BBXX	0.18486874284486013	0.8151312571551399	0.08888888888888889	0.22416108919804675	0.9951753368742249
R15330_HCJGJBBXX	0.2822563876625675	0.7177436123374324	0.08888888888888889	0.2309558748414845	0.9897694869160204
R15331_HJV23BBXX	0.25049553572683125	0.7495044642731687	0.08888888888888889	0.2250105259612542	0.9915287564469946
R15332_HCJ72BBXX	0.33925379958259083	0.6607462004174092	0.011111111111111112	0.5101218635795137	0.8603435250855145
R15333_HCJGJBBXX	0.1587462866180419	0.8412537133819582	0.1	0.21999514505972867	0.9994194912312939
R15334_HFF2HBBXX	0.17329437302069345	0.8267056269793066	0.17777777777777778	0.1208960545852749	1.0308331725603372
R15335_HJV23BBXX	0.3897177094602025	0.6102822905397974	0.05555555555555555	0.29755658202214136	0.9708631047655062
R15336_HCJGJBBXX	0.11852973949459315	0.8814702605054069	0.28888888888888886	0.05806908775425578	1.0573052407542065
R15337_HCJGJBBXX	0.23110749087481383	0.7688925091251861	0.011111111111111112	0.446426299949375	0.9070980112627293
R15338_HFF2HBBXX	0.2692154420774263	0.7307845579225737	0.011111111111111112	0.46921703293527545	0.8909188505458244
R15339_HFF2HBBXX	0.2759602812214131	0.724039718778587	0.011111111111111112	0.447178698466375	0.8994700496367276
R15340_HCJGJBBXX	0.15741741920751257	0.8425825807924875	0.12222222222222222	0.17481507264956983	1.014601139396024
R15341_HCJ72BBXX	0.25459604972623695	0.745403950273763	0.011111111111111112	0.45851426617850577	0.8980263719212764
R15342_HJV3YBBXX	0.27776841724528367	0.7222315827547163	0.011111111111111112	0.447293491152423	0.8991564915212824
R15343_HCJGJBBXX	0.32251308712312243	0.6774869128768776	0.011111111111111112	0.43827215055634505	0.898106289111659
R15344_HCJ72BBXX	0.2578394474218709	0.7421605525781291	0.011111111111111112	0.4375485784075157	0.906314028987019
R15346_HJV3YBBXX	0.017610396854390205	0.9823896031456097	0.011111111111111112	0.5214091489344949	0.9154830511071148
R15347_HFF2HBBXX	0.2683736950624855	0.7316263049375146	0.044444444444444446	0.40940998102632165	0.9167283857771931
R15348_HJV3YBBXX	0.3853643780637889	0.6146356219362111	0.011111111111111112	0.48438918120265745	0.87015747317667
R15349_HCJGJBBXX	0.24368007558566643	0.7563199244143336	0.1111111111111111	0.19622444512466258	1.0023156693919912
R15350_HJV23BBXX	0.31492583641716204	0.685074163582838	0.044444444444444446	0.3685888512181386	0.9311574899779407
R15351_HJV23BBXX	0.3957292223395373	0.6042707776604628	0.011111111111111112	0.46695588478957273	0.8798982405829339
R15352_HFF2HBBXX	0.3833673961556629	0.6166326038443372	0.05555555555555555	0.3219415463607779	0.9573936092654889
R15353_HCJ72BBXX	0.3514482738660632	0.6485517261339369	0.044444444444444446	0.3998330593188425	0.9157447642427188
R15355_HCJ72BBXX	0.35933280667135364	0.6406671933286463	0.011111111111111112	0.4395517305722344	0.8953515609085865
R15356_HFF2HBBXX	0.2858680300503102	0.7141319699496899	0.05555555555555555	0.32597737060622334	0.9506522294770375
R15357_HJV3YBBXX	0.0003	0.9997200324078921	0.011111111111111112	0.4499363285035393	0.9464195447321201
R15358_HJV3YBBXX	0.3275652163128094	0.6724347836871906	0.044444444444444446	0.3565552987373377	0.9365760320708169
R15359_HJV3YBBXX	0.3330941393127865	0.6669058606872135	0.011111111111111112	0.4930182042153337	0.8699527962714297
R15361_HJV3YBBXX	0.2958748093217253	0.7041251906782747	0.011111111111111112	0.5002177263232416	0.8722209605374488
R15363_HCJ72BBXX	0.3494381952630299	0.6505618047369701	0.044444444444444446	0.41498895066924435	0.9081576914960253
R15365_HCJ72BBXX	0.3238662872983544	0.6761337127016456	0.16666666666666666	0.14587424719268594	1.029371368743643
R15366_HJV23BBXX	0.36942777563043644	0.6305722243695635	0.05555555555555555	0.3335768952519986	0.9498468475201798
R15367_HCJ72BBXX	0.42031861125499653	0.5796813887450035	0.022222222222222223	0.4331025132542466	0.9006582487606583
R15369_HJV23BBXX	0.2692197325363907	0.7307802674636094	0.011111111111111112	0.47079380464087206	0.8902302782443794
R15370_HCJGJBBXX	0.30195354918710743	0.6980464508128925	0.044444444444444446	0.3767309872828622	0.9279877010110877
R15372_HJV3YBBXX	0.04456369186628393	0.955436308133716	0.03333333333333333	0.4245335527518429	0.948185414683328
R15373_HCJ72BBXX	0.32108516577091445	0.6789148342290855	0.1111111111111111	0.209292938410385	1.0019834857223848
R15374_HJV23BBXX	0.3603734076341317	0.6396265923658683	0.044444444444444446	0.40749860986622594	0.911896499134327
R15375_HCJGJBBXX	0.27159955750416875	0.7284004424958312	0.05555555555555555	0.32532107184824494	0.9514807706708941
R15377_HJV23BBXX	0.2714465734020436	0.7285534265979564	0.011111111111111112	0.4965003217741411	0.8785039587438785
R15378_HJV3YBBXX	0.02825180840876596	0.971748191591234	0.011111111111111112	0.5107458218310954	0.9182034130946541
R15379_HJV3YBBXX	0.2776905212933862	0.7223094787066138	0.044444444444444446	0.3638452491673294	0.9350869858697445
